gene	symbol	category	lipo_annote	rpos_annote_caimano	rpos_annote_grassmann	rrp1_annote	rel_recov_annote	rel_starve_annote	rel_station_annote	unreg	baseMean	log2fc_12	padj_12	log2fc_13	padj_13	log2fc_1e	padj_1e	log2fc_23	padj_23	log2fc_3e	padj_3e
BB_A41	BB_A41	U	NA	NA	down-DMCs	up	down	down	down	FALSE	759.7428019	-0.992324817	9.02E-16	-0.957270227	1.65E-14	-1.432673519	9.45E-31	0.021698068	0.869355092	-0.42615896	0.000991229
BB_A62	lp6.6	CE	P	down	down-DMCs	up	NA	up	up	FALSE	11475.20238	0.662446485	4.04E-15	0.613105601	5.35E-13	1.097926772	2.11E-40	-0.04381278	0.686478714	0.457416506	6.84E-08
BB_A40	BB_A40	U	NA	NA	down-DMCs	NA	down	down	down	FALSE	591.0325466	-0.879545975	1.10E-14	-1.061610247	4.76E-20	-1.309516363	1.61E-29	-0.122751505	0.26246258	-0.209378607	0.095576242
BB_A05	BB_A05	CE	P	up	up-nymphs-DMCs	up	NA	NA	down	FALSE	1231.946574	1.691061717	2.57E-13	2.034358249	7.43E-19	2.656083602	2.79E-32	0.126858885	0.289868978	0.483450218	0.018678884
BB_0243	BB_0243	MT	NA	down	down-DMCs	up	down	NA	down	FALSE	32708.49713	1.194565582	2.81E-12	2.147485805	7.55E-38	3.283703336	2.81E-88	0.892946678	2.34E-06	1.09127385	1.55E-10
BB_A74	osm28	TP	NA	down	down-DMCs	up	up	NA	NA	FALSE	11720.94695	1.169876181	9.50E-12	1.321745412	7.56E-15	0.889032585	1.24E-07	0.069372802	0.568296233	-0.373879275	0.020395872
BB_H32	BB_H32	CE	S	NA	up-nymphs	NA	NA	up	up	FALSE	501.3947311	1.226413164	1.56E-11	1.638787164	9.59E-20	1.791575762	3.31E-24	0.264102958	0.079742497	0.106634454	0.546555298
BB_E31	BB_E31	CE	S	NA	up-nymphs	up	up	up	up	FALSE	2818.766586	1.804346734	3.18E-11	2.156838036	1.41E-15	3.499288122	2.98E-40	0.094272806	0.378078324	1.221950881	3.68E-06
BB_A04	BB_A04	CE	S	NA	up-nymphs-DMCs	up	NA	down	down	FALSE	1587.744705	1.415257179	3.98E-11	1.878834422	7.12E-19	2.095474028	4.58E-24	0.256596692	0.098471619	0.136419872	0.457326658
BB_0579	BB_0579	RR	NA	NA	NA	down	NA	down	down	FALSE	12276.98875	-0.517636407	9.07E-11	-0.649936734	2.01E-16	-0.936109535	6.56E-34	-0.102983597	0.228460517	-0.266338461	0.001131773
BB_A16	ospB	NA	S	down	down-DMCs	NA	NA	NA	NA	FALSE	106946.1134	0.496575557	1.05E-10	0.473271632	9.02E-10	0.507109403	1.43E-11	-0.013987618	0.834070721	0.023566827	0.823100205
BB_B05	chbA	NA	NA	NA	NA	up	NA	NA	NA	FALSE	1835.44889	0.642387245	1.62E-10	0.470744405	4.53E-06	0.374884014	0.000207089	-0.134224348	0.184384352	-0.092990171	0.42500623
BB_A59	BB_A59	NA	S	down	down-DMCs	up	NA	NA	NA	FALSE	8616.558424	0.57577249	2.91E-10	0.455945839	8.55E-07	0.720273896	4.24E-16	-0.096565783	0.316836596	0.239672511	0.011100683
BB_0681	BB_0681	CM	NA	up	up-nymphs-DMCs	up	NA	NA	up	FALSE	11071.41091	1.091430476	5.57E-10	0.946772623	7.21E-08	1.102893191	8.52E-11	-0.066741769	0.581529309	0.098546323	0.559116873
BB_0238	BB_0238	U	NA	NA	NA	NA	NA	NA	NA	TRUE	10622.20061	0.494693603	7.84E-10	0.259491151	0.002096673	0.649332802	8.27E-17	-0.214013328	0.013648139	0.370972736	4.30E-06
BB_I42	BB_I42	CE	S	NA	up-nymphs-DMCs	up	up	up	NA	FALSE	423.028235	1.455176499	9.86E-10	1.998732992	1.72E-17	2.524153087	2.29E-28	0.31396677	0.072496032	0.385785101	0.052069236
BB_B07	BB_B07	NA	NA	NA	NA	up	NA	NA	NA	FALSE	10542.73463	0.60472361	1.09E-09	0.455955171	6.00E-06	0.281978884	0.006617442	-0.114038487	0.243878716	-0.176892456	0.09711764
BB_A64	BB_A64	CE	S	NA	up-nymphs	NA	down	NA	NA	FALSE	6917.485531	1.166054996	1.09E-09	1.132791158	2.98E-09	2.284327124	5.29E-35	-0.013929559	0.911405059	1.080914246	1.32E-08
BB_0638	BB_0638	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	3024.773577	0.605201522	1.69E-09	0.527648104	2.21E-07	0.629740813	2.13E-10	-0.05982504	0.58273903	0.079253561	0.51908871
BB_0418	BB_0418	NA	NA	NA	up-nymphs	up	NA	NA	NA	FALSE	3102.056991	0.683457816	1.61E-08	0.600128639	7.77E-07	0.993417615	1.50E-17	-0.056345079	0.625173012	0.349743732	0.003540043
BB_0242	BB_0242	U	NA	down	down-DMCs	up	NA	up	up	FALSE	679.1445765	1.593850921	1.76E-08	2.692421237	4.35E-22	3.934377079	2.99E-47	0.915230946	0.001511458	1.118160935	2.52E-05
BB_0726	BB_0726	CM	NA	NA	NA	NA	down	down	down	FALSE	1961.608867	-0.430124013	1.31E-07	-0.601018417	9.70E-14	-0.547778476	5.56E-12	-0.138549167	0.111245437	0.053130072	0.621070429
BB_P28	mlpA	NA	S	NA	up-nymphs-DMCs	up	NA	NA	NA	FALSE	652.1241147	1.482579953	1.70E-07	1.844098311	4.50E-11	2.912318669	7.78E-27	0.091870207	0.377636178	0.909184306	0.000520025
BB_0512	BB_0512	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	6068.20828	-0.44645258	2.04E-07	-0.318843178	0.000249195	-0.799293352	2.21E-22	0.108891754	0.234206079	-0.458542384	6.84E-08
BB_0844	BB_0844	CE	P	up	up-nymphs-DMCs	NA	up	up	NA	FALSE	2569.127907	1.347730926	2.30E-07	1.771925406	5.14E-12	2.140241161	1.05E-17	0.135433064	0.242230045	0.211249956	0.27088626
BB_D18	BB_D18	U	NA	down	down-DMCs	NA	NA	up	up	FALSE	550.9943629	-0.715219762	2.44E-07	-0.68303361	1.05E-06	-0.414497713	0.002691789	0.021853791	0.869991823	0.23735155	0.08987535
BB_B08	BB_B08	NA	S	NA	NA	up	NA	NA	NA	FALSE	489.7904139	0.669082989	2.49E-07	0.750556059	7.87E-09	0.652071889	3.33E-07	0.045562481	0.714029028	-0.088476153	0.548119304
BB_0040	cheR	CM	NA	NA	up-nymphs-DMCs	NA	NA	up	NA	FALSE	552.6922568	0.965973065	3.07E-07	0.948549507	4.59E-07	1.633869076	2.46E-19	-0.009045401	0.936809343	0.58401774	0.001083426
BB_A15	ospA	CE	S	down	down-DMCs	NA	NA	NA	up	FALSE	108032.879	0.45464802	4.42E-07	0.367054409	5.06E-05	0.397170323	5.48E-06	-0.078896154	0.45094906	0.020608619	0.870233074
BB_0843	BB_0843	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	16778.13657	0.564894171	4.75E-07	0.334729626	0.003342594	0.617337217	1.13E-08	-0.185006994	0.092683447	0.246173823	0.029169017
BB_0685	BB_0685	MT	NA	NA	NA	down	down	down	down	FALSE	1405.278171	-0.562016112	6.64E-07	-0.547140932	1.34E-06	-1.671706536	1.26E-50	0.013858574	0.911405059	-1.092047678	3.23E-21
BB_B19	ospC	CE	S	up	up-nymphs-DMCs	NA	up	up	NA	FALSE	37091.29255	1.500038143	6.64E-07	1.756697992	3.08E-09	1.590305354	2.06E-08	0.056080486	0.574124007	-0.075625451	0.709666485
BB_0680	BB_0680	CM	NA	up	up-nymphs-DMCs	up	NA	NA	up	FALSE	13930.04062	0.904592483	8.56E-07	0.805588291	7.52E-06	1.04735165	1.63E-09	-0.040670694	0.755797681	0.171863953	0.31838831
BB_0752	BB_0752	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2606.475488	-0.435357518	8.56E-07	-0.293918753	0.001201396	-0.949423039	1.17E-28	0.120947732	0.194362437	-0.634926226	6.25E-13
BB_0581	recG	RR	NA	NA	up-DMCs	down	NA	down	NA	FALSE	2461.579668	-0.435993909	1.64E-06	-0.478304766	1.42E-07	-0.725924999	1.41E-16	-0.026854786	0.820391003	-0.222973353	0.018747492
BB_J23	BB_J23	U	NA	up	up-nymphs-DMCs	NA	NA	NA	up	FALSE	761.5220202	1.257511734	1.74E-06	1.61318748	6.05E-10	2.714620142	6.49E-27	0.102845333	0.357207005	0.961212759	0.000106016
BB_A73	BB_A73	CE	S	up	up-nymphs-DMCs	up	NA	NA	up	FALSE	5582.558259	1.367786545	1.74E-06	2.260710037	1.29E-15	2.557524347	1.56E-20	0.659914683	0.015558292	0.144241143	0.446647718
BB_0689	BB_0689	U	S	NA	up-nymphs-DMCs	up	up	up	up	FALSE	320.8504126	0.849404521	2.15E-06	0.727844754	4.87E-05	1.647748604	1.37E-21	-0.055937089	0.638705327	0.833072501	1.64E-06
BB_0295	hslU	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	3105.565151	-0.516455696	3.46E-06	-0.435025563	9.11E-05	-1.148350658	9.56E-27	0.060221557	0.59093705	-0.674092347	1.14E-09
BB_0631	BB_0631	U	NA	down	down-DMCs	up	NA	up	up	FALSE	14061.2027	0.487018367	3.72E-06	0.47663843	6.00E-06	0.73602748	3.12E-13	-0.013217717	0.911253842	0.227575792	0.033715088
BB_O40	erpM	CE	S	NA	up-nymphs-DMCs	up	NA	NA	up	FALSE	2794.787333	1.063099051	4.88E-06	1.883513532	2.11E-16	3.172806136	1.41E-45	0.658133119	0.005634029	1.190679443	1.21E-07
BB_B09	BB_B09	NA	P	NA	up-nymphs	up	NA	NA	NA	FALSE	466.0060777	0.754626363	5.19E-06	1.114314135	1.07E-11	2.032363858	7.46E-38	0.227994081	0.097885019	0.855219473	6.84E-08
BB_0098	BB_0098	NA	NA	NA	NA	down	NA	NA	NA	FALSE	1455.537757	-0.596397789	7.61E-06	-0.187140295	0.19158878	-0.507494629	9.94E-05	0.3624604	0.007964296	-0.273005465	0.038377152
BB_0637	BB_0637	NA	NA	NA	up-nymphs	NA	NA	NA	NA	TRUE	3834.244184	0.435438242	7.61E-06	0.33247779	0.000757664	0.560619397	2.01E-09	-0.083159556	0.397713593	0.203092096	0.042096714
BB_B04	chbC	NA	NA	NA	NA	up	NA	NA	NA	FALSE	28870.69441	0.811574697	7.61E-06	0.247030457	0.196571849	0.750670067	1.38E-05	-0.473750416	0.007305767	0.417339237	0.011750688
BB_0072	BB_0072	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1934.771108	-0.427876289	7.68E-06	-0.353786633	0.000255862	-0.327183635	0.000599888	0.061853402	0.552092963	0.033314337	0.811345128
BB_0603	p66	CE	NA	NA	NA	NA	NA	NA	NA	TRUE	53196.60677	0.541988406	7.75E-06	0.160166583	0.232329213	0.548794403	2.75E-06	-0.345739744	0.00602195	0.351868706	0.003015509
BB_K32	bbk32	CE	S	up	up-nymphs-DMCs	NA	up	up	up	FALSE	426.3097703	0.897178943	7.75E-06	1.450416608	3.06E-13	2.50791277	6.94E-39	0.385078279	0.03146643	0.976827117	3.25E-07
BB_A33	BB_A33	CE	S	up	up-nymphs-DMCs	NA	NA	up	up	FALSE	312.4285636	1.276973671	7.88E-06	2.013380087	1.22E-12	3.016712781	5.05E-28	0.430954014	0.047282434	0.839851057	0.001143234
BB_0629	BB_0629	TP	NA	NA	NA	up	down	down	down	FALSE	9531.887909	0.415929709	8.72E-06	0.000432568	0.978642578	0.379428637	3.10E-05	-0.404739737	5.33E-05	0.363295553	8.71E-05
BB_L28	BB_L28	CE	S	NA	NA	up	NA	NA	NA	FALSE	250.6023894	0.830748437	9.35E-06	0.688475671	0.000237184	1.291985952	1.37E-12	-0.062213588	0.603370382	0.492009082	0.005327089
BB_A24	dbpA	CE	S	up	up-nymphs-DMCs	NA	up	up	NA	FALSE	656.7428721	0.959263114	9.35E-06	1.584028763	1.71E-13	2.858874987	7.51E-43	0.441651791	0.025081623	1.190326061	1.22E-08
BB_0297	BB_0297	RR	NA	NA	NA	NA	NA	down	NA	FALSE	1829.525724	-0.421192589	9.62E-06	-0.383277063	6.91E-05	-0.735723468	1.88E-15	0.034061532	0.774704521	-0.323927531	0.000855188
BB_0712	BB_0712	TR	NA	NA	NA	NA	down	down	down	FALSE	7687.723144	-0.403996652	9.62E-06	-0.38386121	2.61E-05	-1.027593006	2.79E-32	0.019894802	0.869172098	-0.619322621	4.29E-12
BB_A39	BB_A39	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	515.5153846	-0.72815953	9.62E-06	-0.84774196	3.18E-07	-1.109853096	8.21E-12	-0.051397171	0.676423044	-0.189109629	0.239047163
BB_0690	napA	SR	NA	NA	NA	NA	NA	up	up	FALSE	6195.273836	0.480712649	1.45E-05	0.076673146	0.575750869	0.475105227	1.02E-05	-0.38403304	0.001245778	0.374711801	0.000647557
BB_S30	BB_S30	NA	S	NA	NA	up	NA	NA	NA	FALSE	390.3904511	0.81026824	1.45E-05	0.533950597	0.003880275	1.066830675	4.21E-09	-0.136882859	0.271325557	0.417026014	0.017324306
BB_J46	BB_J46	U	NA	NA	up-nymphs-DMCs	NA	NA	up	NA	FALSE	71.93595455	1.779255606	1.81E-05	2.014969971	1.13E-06	2.066437253	2.09E-07	0.028621247	0.744432067	0.011855638	0.95747911
BB_0842	argF	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	14380.9132	0.497568601	2.08E-05	0.206329203	0.099923167	0.451707731	7.60E-05	-0.246162169	0.032523112	0.210134223	0.075784667
BB_0841	arcA	NA	NA	NA	NA	up	NA	NA	NA	FALSE	12442.22658	0.5595144	2.51E-05	0.068972623	0.67656877	-0.006603248	0.965489982	-0.455671127	0.00099326	-0.062342231	0.652891453
BB_L27	BB_L27	CE	NA	NA	down-DMCs	NA	down	NA	NA	FALSE	479.0723979	0.672285462	2.63E-05	0.343469424	0.034725836	0.054621878	0.77543686	-0.225915566	0.097885019	-0.267872948	0.084427906
BB_N28	BB_N28	CE	S	NA	NA	up	NA	NA	NA	FALSE	206.3238541	0.813706755	2.91E-05	0.335418279	0.082719207	0.58187341	0.002564771	-0.327653618	0.050999899	0.147893956	0.404537228
BB_0642	potA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1515.190296	-0.441979904	3.17E-05	-0.302063031	0.005652268	-0.261206722	0.016006027	0.111114071	0.289721552	0.045730633	0.745827608
BB_A31	BB_A31	BP	NA	NA	NA	up	down	down	down	FALSE	1960.501155	0.501773063	3.49E-05	0.838926641	1.82E-12	0.639750675	4.91E-08	0.264798716	0.029178644	-0.177036481	0.151399207
BB_0296	BB_0296	PD	NA	NA	NA	NA	NA	down	down	FALSE	1047.044278	-0.490658394	3.73E-05	-0.473953572	7.92E-05	-1.031967	9.45E-19	0.018355175	0.891173501	-0.513085459	2.11E-05
BB_0818	BB_0818	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1551.924223	-0.509614727	4.45E-05	-0.127804484	0.365390367	-0.317867702	0.011552935	0.347637463	0.007297684	-0.161285958	0.223831132
BB_0707	BB_0707	U	NA	NA	NA	NA	NA	up	NA	FALSE	2793.266916	0.368447219	4.46E-05	0.320131724	0.000463998	0.678669515	2.86E-15	-0.043393336	0.676423044	0.337322785	0.000174259
BB_I43	BB_I43	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	55.77174376	1.637460164	5.70E-05	2.431553662	2.39E-09	3.042047076	9.84E-15	0.154284108	0.126499612	0.260188262	0.200319107
BB_J48	BB_J48	U	NA	NA	up-nymphs	NA	NA	up	NA	FALSE	352.146026	0.997524693	6.84E-05	1.55742025	5.26E-10	2.488105036	9.51E-25	0.262650996	0.097885019	0.790777361	0.000678354
BB_E22	pncA	MT	NA	NA	NA	NA	NA	up	NA	FALSE	673.4230309	0.534787421	6.93E-05	0.501448726	0.000215463	1.225745241	2.06E-21	-0.024675677	0.851827314	0.670887101	3.43E-07
BB_0237	lnt	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2797.140747	0.306881715	8.16E-05	0.244929502	0.002082722	0.101728135	0.234332385	-0.057016876	0.528436081	-0.141781244	0.08987535
BB_O39	erpL	NA	S	up	up-nymphs-DMCs	up	NA	NA	NA	FALSE	397.5214178	1.367102089	9.99E-05	2.078281738	3.78E-09	3.729501654	9.67E-28	0.150006529	0.151294894	1.46415209	1.28E-05
BB_0369	BB_0369	NA	NA	NA	NA	down	NA	NA	NA	FALSE	2165.030751	-0.411241416	0.000100837	-0.310482688	0.003930836	-0.78683383	1.23E-14	0.081371714	0.4441416	-0.441659067	2.68E-05
BB_0447	BB_0447	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	3118.268674	-0.329446043	0.00010218	-0.286491281	0.000832194	-0.308144823	0.000199626	0.041574366	0.69253247	-0.013869913	0.910492125
BB_B22	BB_B22	TP	NA	NA	NA	NA	down	NA	NA	FALSE	5058.714631	0.340099556	0.000133566	-0.016331419	0.89675533	-0.298377328	0.000542422	-0.350367342	0.000197206	-0.27183823	0.002260084
BB_0824	BB_0824	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1487.527394	0.433953166	0.000158688	0.165266099	0.192625562	0.551277346	6.51E-07	-0.234827856	0.040761379	0.352773751	0.001811441
BB_0548	polA	NA	NA	NA	up-DMCs	NA	NA	NA	NA	TRUE	3415.7802	-0.457521556	0.000180376	-0.273951376	0.030040017	-0.304628185	0.012822379	0.143005149	0.214756552	-0.013797154	0.932101646
BB_0694	ffh	NA	NA	NA	NA	down	NA	NA	NA	FALSE	10026.7065	-0.272237804	0.000180376	-0.375437731	1.40E-07	-0.246718924	0.000463957	-0.082936932	0.304981852	0.127507896	0.102147935
BB_A60	BB_A60	CE	S	NA	down-DMCs	up	NA	up	NA	FALSE	859.1121194	0.418232921	0.000180376	0.323012243	0.004705631	1.311650159	1.91E-35	-0.072686453	0.504700795	0.959051898	9.97E-19
BB_0172	BB_0172	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1369.423565	-0.433942329	0.000185029	-0.244410765	0.045140667	-0.85545432	3.17E-14	0.151867749	0.17216422	-0.574770305	7.10E-07
BB_0729	BB_0729	TP	NA	NA	up-nymphs	NA	down	down	NA	FALSE	3138.208816	0.352681872	0.000193348	0.102355287	0.357083096	0.181047055	0.064016517	-0.232018618	0.017555378	0.069284644	0.54651718
BB_0827	BB_0827	RR	NA	NA	NA	NA	NA	up	NA	FALSE	4038.484388	-0.312001137	0.000199684	-0.305108129	0.000358725	-0.434760919	1.05E-07	0.01596094	0.887739174	-0.112634281	0.230449886
BB_A19	BB_A19	U	NA	NA	NA	NA	NA	up	NA	FALSE	1459.632605	0.374384717	0.000199684	0.24681821	0.018082058	0.676325474	1.52E-12	-0.105505358	0.301664049	0.401590264	4.80E-05
BB_K15	BB_K15	NA	NA	down	down-DMCs	up	NA	NA	NA	FALSE	484.8356903	0.664066605	0.000202596	1.21980686	7.04E-12	0.938384607	7.02E-08	0.41670627	0.01588675	-0.214796405	0.190399995
BB_0751	BB_0751	U	NA	NA	NA	NA	up	NA	up	FALSE	1211.177631	-0.380218062	0.000241867	-0.384485399	0.000227	-0.767088805	1.95E-14	0.003972621	0.971237289	-0.350623813	0.000838899
BB_O28	BB_O28	NA	S	NA	NA	up	NA	NA	NA	FALSE	305.4158766	0.704853883	0.00024614	0.997994928	2.54E-07	1.296930278	4.54E-12	0.128275101	0.300685214	0.204137856	0.23475935
BB_0301	BB_0301	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1197.242808	-0.394812283	0.000251215	-0.440090908	4.64E-05	-0.451318734	1.90E-05	-0.022584426	0.848424085	0.000115822	0.998260982
BB_0817	murC	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2500.140667	-0.397625151	0.000251215	-0.074801386	0.574730384	-0.233483925	0.036214529	0.302019199	0.007305767	-0.138665171	0.231070383
BB_0450	rpoN	TR	NA	NA	NA	NA	NA	NA	NA	TRUE	960.9193254	-0.514731518	0.000253699	-0.419414546	0.002895261	-0.785157137	1.09E-08	0.059767582	0.61815945	-0.29995875	0.031093967
BB_B16	oppAIV	NA	P	NA	NA	up	NA	NA	NA	FALSE	5555.655031	0.388645087	0.000273674	-0.003118861	0.971472048	0.093839403	0.444510581	-0.383592522	0.000674177	0.092285349	0.458569733
BB_K48	BB_K48	NA	S	NA	up-nymphs	up	NA	NA	NA	FALSE	203.0135461	0.942667262	0.000298324	1.862183262	1.39E-12	2.5348974	2.73E-23	0.699267113	0.006490268	0.49995084	0.022988253
BB_A20	BB_A20	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1151.712602	0.381753145	0.000303778	0.444955426	2.61E-05	0.824910702	1.90E-16	0.037132731	0.757313028	0.349020753	0.000781507
BB_J24	BB_J24	U	NA	NA	up-nymphs-DMCs	NA	NA	NA	up	FALSE	235.0528762	0.959498017	0.000316804	0.714364693	0.005155877	1.653284941	2.38E-10	-0.06177143	0.552092963	0.722904686	0.003353354
BB_0718	BB_0718	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2960.887907	-0.283056147	0.000344591	-0.157613637	0.064745955	-0.508780738	1.31E-11	0.114769162	0.174387464	-0.334863336	1.72E-05
BB_0218	pstB	TP	NA	NA	NA	NA	NA	down	NA	FALSE	1774.121746	0.432529125	0.000347003	0.184604164	0.16668986	0.105346095	0.447001252	-0.201397144	0.074257736	-0.076337818	0.588277632
BB_0710	dnaG	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2587.263582	-0.307320933	0.000392896	-0.25180775	0.00437526	-0.938265175	5.83E-30	0.050865313	0.60941696	-0.668187094	3.87E-15
BB_0411	BB_0411	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	407.8989306	-0.499659122	0.000431379	-0.14627866	0.35243133	-0.656316917	3.45E-06	0.300594814	0.031353519	-0.460019437	0.001341652
BB_A25	dbpB	CE	S	up	up-nymphs-DMCs	NA	up	up	NA	FALSE	682.3327519	1.130895806	0.000431379	2.035081231	5.09E-10	3.527712665	9.38E-29	0.502610934	0.041864719	1.323464243	2.32E-05
BB_A0078	BB_A0078	CE	P	NA	up-nymphs-DMCs	NA	NA	up	up	FALSE	164.4346202	1.182298602	0.000446921	2.186522881	1.83E-10	2.244431104	1.23E-11	0.631938594	0.026918186	0.021673779	0.922739383
BB_A50	BB_A50	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	229.0226599	-0.77784133	0.000483077	-0.838674505	0.00018433	-0.89372579	4.96E-05	-0.013517879	0.911253842	-0.017291278	0.939637048
BB_0370	tyrS	TL	NA	NA	NA	NA	NA	NA	NA	TRUE	2516.42243	-0.302569054	0.000513553	-0.367349221	2.15E-05	-0.498038012	2.20E-09	-0.044141088	0.650541021	-0.114234146	0.23794567
BB_0769	BB_0769	TL	NA	NA	NA	NA	NA	down	down	FALSE	1435.636487	-0.485804832	0.000523395	-0.158121494	0.305099083	-0.459559588	0.000884195	0.273705548	0.041194916	-0.251766089	0.06786984
BB_0326	BB_0326	U	NA	NA	NA	NA	NA	NA	NA	TRUE	10367.19101	-0.243237476	0.000552419	-0.214841242	0.002471497	-0.42274933	1.33E-10	0.02947702	0.75331358	-0.196481529	0.005327089
BB_0684	fni	MT	NA	NA	NA	NA	down	down	NA	FALSE	3478.952391	-0.311026543	0.000574532	-0.478922703	7.58E-08	-1.221752336	2.98E-46	-0.128591969	0.166844498	-0.724385581	2.63E-16
BB_0330	BB_0330	TP	P	NA	down-DMCs	NA	NA	up	NA	FALSE	10247.80635	0.391670564	0.000593782	0.136362196	0.294539238	0.516113933	2.47E-06	-0.22345905	0.046808223	0.351288071	0.001674001
BB_0782	nadD	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	408.3049612	-0.443195636	0.000604337	-0.378237829	0.003782976	-1.267942185	7.94E-22	0.044764687	0.72147535	-0.840696028	1.14E-09
BB_A69	BB_A69	CE	S	down	down-DMCs	up	up	up	up	FALSE	2709.714223	0.40843741	0.000604337	0.916505554	1.86E-15	0.971816239	8.51E-18	0.449130695	0.000375464	0.040196864	0.799461363
BB_B29	BB_B29	TP	NA	NA	down-DMCs	up	down	down	down	FALSE	102678.4515	0.449511516	0.000620767	-0.055539405	0.712069386	0.015068615	0.94133012	-0.508774109	0.000259477	0.068665059	0.669339073
BB_A71	BB_A71	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	697.5385624	1.05416213	0.000632978	2.01301493	1.87E-10	1.782207715	4.74E-09	0.619511894	0.024860319	-0.101583399	0.606134424
BB_K53	BB_K53	CE	S	NA	up-nymphs-DMCs	NA	up	NA	NA	FALSE	651.3621248	1.238018327	0.000655421	1.776955936	1.64E-06	2.984892782	1.66E-16	0.07870139	0.359839388	0.917565832	0.005193776
BB_0754	BB_0754	NA	NA	NA	NA	down	NA	NA	NA	FALSE	1800.542313	-0.314143145	0.000670126	-0.147922176	0.146652941	-0.631073324	1.20E-12	0.147292223	0.117738182	-0.463217309	4.16E-07
BB_B18	guaA	MT	NA	NA	NA	NA	down	down	down	FALSE	13394.39837	0.264100548	0.000687725	0.051894102	0.603172606	-0.079183949	0.357199044	-0.197944707	0.012930221	-0.12485371	0.125913511
